variation;year;Infant;Hump;Senescent
0,2;2013;0,337924397;0,483746695;6,350408044
0,2;2014;0,327311362;0,354612284;6,485347049
0,2;2015;0,350867729;0,315035736;6,459479833
0,2;2016;0,282248852;0,565884005;6,226926912
0,2;2017;0,344577193;0,409332212;6,289187092
0,5;1960;2,737568707;0,885335691;12,25600605
0,5;1961;2,639176662;1,093420241;12,40809541
0,5;1962;2,628081809;0,932052772;12,24578872
0,5;1963;2,551401002;0,755582407;12,59069915
0,5;1964;2,125104001;0,690830019;13,44999848
0,5;1965;1,949266034;0,685504548;13,40474059
0,5;1966;1,967862045;0,919033755;13,41217747
0,5;1967;1,823789059;0,783103868;13,50720852
0,5;1968;1,729923741;0,614711194;13,75309452
0,5;1969;1,725405768;0,608591097;13,88663714
0,5;1970;1,6007206;0,576173855;13,97746049
0,5;1971;1,502627006;0,596802397;13,99926524
0,5;1972;1,450151078;0,549705036;14,3317552
0,5;1973;1,395411896;0,600403265;13,91636436
0,5;1974;1,404220013;0,600120986;13,92216958
0,5;1975;1,208048906;0,550589502;14,04371508
0,5;1976;1,168400454;0,687007624;13,95906071
0,5;1977;1,144396989;0,67210581;14,08260528
0,5;1978;1,154004654;0,688937517;13,7564366
0,5;1979;0,981018212;0,704553132;14,05625908
0,5;1980;1,042976436;0,797599712;13,8131975
0,5;1981;0,976417518;0,700926398;13,75595165
0,5;1982;0,937401682;0,775032976;13,81952656
0,5;1983;0,9251783;0,849030928;13,47939867
0,5;1984;0,867469072;0,941997096;13,5229558
0,5;1985;0,841350135;0,931227684;13,30847041
0,5;1986;0,786001269;0,807298853;13,58645519
0,5;1987;0,785310443;0,907524603;13,44872031
0,5;1988;0,882942829;0,777278211;13,5437415
0,5;1989;0,786151703;1,05357726;13,29610466
0,5;1990;0,921595791;1,079294324;12,9690088
0,5;1991;0,826024256;1,277080195;12,97534966
0,5;1992;0,732705583;1,32836842;12,97852813
0,5;1993;0,79470615;0,732467632;13,49787559
0,5;1994;0,590872609;1,628090715;12,65420018
0,5;1995;0,574356266;1,840837193;12,10229533
0,5;1996;0,635337843;0,839188853;13,09966793
0,5;1997;0,609741435;0,856265867;12,9290616
0,5;1998;0,559002258;0,645220221;13,15658813
0,5;1999;0,58407562;0,59278442;13,03244748
0,5;2000;0,556910364;0,54653458;13,11250491
0,5;2001;0,607943982;0,544164309;13,05551165
0,5;2002;0,56724635;0,554505515;12,94929216
0,5;2003;0,556141339;0,49037303;12,78235818
0,5;2004;0,554718829;0,536221256;12,79618436
0,5;2005;0,483524794;0,553744084;12,68307794
0,5;2006;0,506631651;0,526251459;12,72763697
0,5;2007;0,506729341;0,562745271;12,54275293
0,5;2008;0,497394682;0,577005877;12,41237194
0,5;2009;0,499231459;0,549510237;12,43850921
0,5;2010;0,403035487;0,613952997;12,41415578
0,5;2011;0,415009118;0,525632264;12,46185151
0,5;2012;0,46408572;0,39934369;12,25214284
0,5;2013;0,441154987;0,594723123;12,04332298
0,5;2014;0,427054882;0,435216568;12,31769012
0,5;2015;0,457793263;0,385803265;12,19882988
0,5;2016;0,376018867;0,702749429;11,79167341
0,5;2017;0,451652747;0,501903591;11,91278588
0,7;1960;2,950801927;0,904879141;15,12517184
0,7;1961;2,837404624;1,119122091;15,32526306
0,7;1962;2,826113135;0,952597217;15,06627093
0,7;1963;2,745408057;0,771461313;15,52321239
0,7;1964;2,291036143;0,704878438;16,53930546
0,7;1965;2,096278445;0,699222496;16,45007987
0,7;1966;2,118144609;0,93892518;16,549632
0,7;1967;1,960681291;0,799343505;16,60211666
0,7;1968;1,862013502;0,626980763;16,87075078
0,7;1969;1,853231959;0,621127814;17,07378731
0,7;1970;1,71717881;0,588403018;17,11772239
0,7;1971;1,610224165;0,610175013;17,11110057
0,7;1972;1,547722051;0,562426524;17,59852384
0,7;1973;1,486144596;0,614336714;16,99840919
0,7;1974;1,491043141;0,613722323;17,02375217
0,7;1975;1,283899438;0,562978917;17,15610211
0,7;1976;1,240536736;0,70324392;17,07188221
0,7;1977;1,211628366;0,687723656;17,21539373
0,7;1978;1,213705186;0,704772676;16,85241542
0,7;1979;1,035384335;0,721176363;17,1813242
0,7;1980;1,100490881;0,816917265;16,87931458
0,7;1981;1,029466906;0,717159266;16,78443947
0,7;1982;0,987137782;0,793103599;16,87981343
0,7;1983;0,971138766;0,868671201;16,4384254
0,7;1984;0,90960783;0,963335576;16,52916329
0,7;1985;0,883945761;0,951605906;16,23254078
0,7;1986;0,82559498;0,824966711;16,55863825
0,7;1987;0,824862214;0,926806504;16,38316808
0,7;1988;0,924149407;0,794144896;16,48740686
0,7;1989;0,823869674;1,077259361;16,19899455
0,7;1990;0,960816861;1,10379981;15,77504734
0,7;1991;0,863266176;1,307360341;15,80874563
0,7;1992;0,766136283;1,360426231;15,78112186
0,7;1993;0,827252064;0,747660707;16,32072688
0,7;1994;0,617627774;1,66954455;15,42359155
0,7;1995;0,595352828;1,890761138;14,76884626
0,7;1996;0,657077059;0,855406386;15,84967193
0,7;1997;0,630715378;0,872878797;15,6663906
0,7;1998;0,578675131;0,657316405;15,95261226
0,7;1999;0,603268501;0,604332489;15,76069603
0,7;2000;0,576833254;0,556560807;15,83258641
0,7;2001;0,627891248;0,554232897;15,7674302
0,7;2002;0,584874669;0,56475571;15,64132348
0,7;2003;0,573701395;0,498762458;15,40385551
0,7;2004;0,571762246;0,545573232;15,46712964
0,7;2005;0,498404948;0,563372508;15,32283842
0,7;2006;0,522589784;0,534895613;15,37541598
0,7;2007;0,522435301;0,572291862;15,1412332
0,7;2008;0,512279296;0,586884875;14,99129818
0,7;2009;0,514657179;0,558476082;14,9748242
0,7;2010;0,416471722;0,624153764;14,95452424
0,7;2011;0,427560069;0,534058904;14,99219944
0,7;2012;0,477835713;0,405617885;14,69479979
0,7;2013;0,45506399;0,603602402;14,48436042
0,7;2014;0,440439307;0,441626698;14,83458972
0,7;2015;0,47218847;0,391336971;14,64218194
0,7;2016;0,389508674;0,714380366;14,15180734
0,7;2017;0,466346412;0,509210024;14,32778261
1;1960;3,081950972;0,910363907;18,33992409
1;1961;2,957229068;1,126543462;18,57762726
1;1962;2,945968985;0,958343033;18,2027473
1;1963;2,862994176;0,775819767;18,8302863
1;1964;2,390897159;0,708700574;19,99887896
1;1965;2,182992205;0,702915448;19,83996451
1;1966;2,207214744;0,944462415;20,10016586
1;1967;2,040738432;0,803800212;20,06506272
1;1968;1,939281677;0,630304829;20,37295596
1;1969;1,927282521;0,624582649;20,66466149
1;1970;1,783643744;0,591811422;20,58416107
1;1971;1,670918599;0,614006403;20,54575433
1;1972;1,601447521;0,566143151;21,31604243
1;1973;1,535339211;0,618410841;20,39776962
1;1974;1,537329468;0,617648745;20,43620743
1;1975;1,323961186;0,566545287;20,58960937
1;1976;1,278295754;0,708029908;20,52638256
1;1977;1,246158931;0,692288215;20,67093191
1;1978;1,243050031;0,709370783;20,30757164
1;1979;1,062360011;0,726062514;20,64299867
1;1980;1,129145847;0,822670047;20,27497386
1;1981;1,055596947;0,721894957;20,13613047
1;1982;1,011342379;0,798384733;20,28996602
1;1983;0,99298844;0,874375357;19,69943101
1;1984;0,929368069;0,969470431;19,87859488
1;1985;0,904138197;0,957359805;19,46691894
1;1986;0,844204711;0,829952147;19,8526431
1;1987;0,843437802;0,932162214;19,61396664
1;1988;0,943214573;0,798876438;19,72854564
1;1989;0,841303536;1,084006796;19,41821581
1;1990;0,978410094;1,11079312;18,85778393
1;1991;0,880188745;1,316143369;18,95559164
1;1992;0,78122594;1,369804973;18,83681576
1;1993;0,841490868;0,751818628;19,37348913
1;1994;0,62941857;1,681942024;18,51239514
1;1995;0,603955644;1,90617755;17,72308236
1;1996;0,665826367;0,859683929;18,81016675
1;1997;0,639150658;0,877273375;18,6380123
1;1998;0,586605494;0,660491964;19,02004425
1;1999;0,610831558;0,607406277;18,71462946
1;2000;0,584906123;0,559151512;18,7625518
1;2001;0,635764321;0,556851784;18,70052523
1;2002;0,59165791;0,567416274;18,56088456
1;2003;0,58049268;0,500862561;18,22242163
1;2004;0,578281008;0,547932466;18,35103668
1;2005;0,504052399;0,565791975;18,20130403
1;2006;0,528716431;0,537006791;18,26203061
1;2007;0,528428421;0,574665027;17,95401401
1;2008;0,517877028;0,589351726;17,80338357
1;2009;0,520529907;0,560662613;17,69632951
1;2010;0,421634979;0,626649603;17,70244503
1;2011;0,432238344;0,536096358;17,72074214
1;2012;0,482962934;0,407120738;17,29535914
1;2013;0,460347215;0,605670947;17,11301998
1;2014;0,44549811;0,443114808;17,56388286
1;2015;0,477665879;0,392602756;17,2594296
1;2016;0,394767156;0,7172087;16,64834152
1;2017;0,471995489;0,510895976;16,95000564
5;1960;3,151789035;0,911109105;31,07793423
5;1961;3,019094958;1,127595456;30,16723512
5;1962;3,007988717;0,959117962;31,74043615
5;1963;2,923757903;0,776392961;34,1260163
5;1964;2,44075508;0,709199634;33,46674582
5;1965;2,224633129;0,703389021;33,19475012
5;1966;2,250305611;0,945207107;34,76280585
5;1967;2,078400922;0,804390113;34,22078214
5;1968;1,97543115;0,63073721;35,53869607
5;1969;1,961455834;0,625044678;37,1202032
5;1970;1,813370956;0,592273803;32,46613648
5;1971;1,697436985;0,614548936;33,06929036
5;1972;1,624042144;0,566686446;37,62521789
5;1973;1,555496972;0,619007135;32,81459665
5;1974;1,555863506;0,618211885;33,02993486
5;1975;1,339545188;0,56705468;33,6255164
5;1976;1,292750315;0,708739133;34,38382885
5;1977;1,259001153;0,692955779;33,1039984
5;1978;1,253344814;0,710036167;34,19482517
5;1979;1,071781215;0,726782435;33,29679343
5;1980;1,139269693;0,823535524;33,62228201
5;1981;1,064624909;0,722585775;33,12283952
5;1982;1,019534026;0,799156282;34,57220293
5;1983;1,000147447;0,875199998;32,3861172
5;1984;0,935682195;0,970344217;33,96349603
5;1985;0,910662867;0,958156313;32,9805744
5;1986;0,850109184;0,830640765;33,63303641
5;1987;0,849320634;0,932884062;32,57443849
