"","1960","1965","1970","1975","1980","1985","1990"
"X1",0.0240290290354423,0.0191624173365695,0.0161173027735558,0.0118108757558289,0.0088761930072804,0.00719108652433663,0.00630924047590376
"X2",0.0020663883333907,0.00162732199311607,0.00128501476419512,0.0010853699575902,0.000922612055854713,0.000791879172346004,0.000567738685969585
"X3",0.000912623596790462,0.000726509527974317,0.000617721793604977,0.000537904010918338,0.000476946502871866,0.000392719172528573,0.000283506130291548
"X4",0.000606842431646692,0.000491358566221675,0.000449386486888302,0.000394139133616905,0.000356408070602687,0.000282570197589528,0.000211289482694156
"X5",0.000475325703468506,0.000392432465722233,0.000378774599822588,0.000332619000093384,0.00030410681385085,0.000235386937912253,0.000182043215290339
"X6",0.00040414428964487,0.000340769597392604,0.000341167566293408,0.000299480865410489,0.000275767805560109,0.000210822289265526,0.000167636592396467
"X7",0.00036019589554523,0.000310639310003665,0.000318395975257198,0.000279239145467314,0.000258468702978221,0.000196815991149978,0.000160002792183085
"X8",0.000330752866764263,0.000292189232861017,0.000303709220000536,0.000266025936169277,0.000247278009086231,0.000188669299825007,0.000156106605256568
"X9",0.000310079644661346,0.000280983229159082,0.000294161201003161,0.000257249484797616,0.000240042594718725,0.000184296072979218,0.000154667742468433
"X10",0.000295463845397101,0.000274894103345801,0.00028837133765008,0.000251765216570476,0.000235910644111168,0.000182848816240523,0.000155247437202829
"X11",0.000285863008286572,0.00027305132622919,0.000285740939557724,0.000249402263060739,0.00023500702330504,0.000184364056306325,0.00015802059841154
"X12",0.000281439428986246,0.000275521586538455,0.000286220965655553,0.000251140541893526,0.00023861775663647,0.000189802964840332,0.000163784028071421
"X13",0.000283363581428536,0.00028330233113719,0.000290850729396424,0.000259772951049246,0.000249648489234838,0.000201168241326404,0.000173991578191712
"X14",0.000293530427233251,0.000298313517993865,0.000302986875954532,0.000280239485819559,0.000272541489478048,0.000221278630965561,0.000190541015717324
"X15",0.000313935132046194,0.000323060156405496,0.000329535763394164,0.000318227048799257,0.000311654185994804,0.000252765475958088,0.000215082138051215
"X16",0.000345677787964463,0.000359705129678021,0.000379612349888366,0.000376106645238769,0.000367866406766272,0.000296277563805837,0.000247904942823522
"X17",0.000388325079674891,0.000408727072746048,0.000457750519967944,0.000449090340175546,0.000436123331266124,0.000349255062664703,0.000287322728757104
"X18",0.000439670965964492,0.000467694222368052,0.000554442127849639,0.000525088320156996,0.000505987810442922,0.000405973659078069,0.000329829483067887
"X19",0.000495923670745293,0.000530894515397924,0.00064362795363953,0.000588967548598167,0.000565122283873369,0.000458929708338712,0.000370917167693233
"X20",0.000552487506092721,0.000590452710106008,0.000695375616679998,0.000629245524796353,0.000604219775173687,0.000501252567607406,0.000406405031841823
"X21",0.000605040533171996,0.000638739321997003,0.000696491992720064,0.000642838408857775,0.000620368499116099,0.000528978583253765,0.000433671564721887
"X22",0.00065094843233432,0.000670963033292301,0.000659847037894144,0.000635782395336043,0.00061715887454637,0.000542780843636503,0.000452607606924597
