"","1960","1965","1970","1975","1980","1985","1990"
"X1",0.0315390525038234,0.0247029450781816,0.0209374256298622,0.0152103735041137,0.0121720882229377,0.00970509088837664,0.00850196110558715
"X2",0.00265952131715202,0.00189189317307606,0.00155982059014483,0.00124868999054368,0.00109923333934623,0.000845699796789169,0.000856207934545102
"X3",0.00117010930950178,0.000901005513475957,0.000797983182253779,0.000676040683706598,0.000598858056794432,0.000455589441101716,0.000416118232938866
"X4",0.000778428305574871,0.000653752837291855,0.000613807332143164,0.000535730205091665,0.000472417451975901,0.000357837228720052,0.000298179040692931
"X5",0.00061121719749272,0.000550538378475046,0.000538151228713301,0.00047769520851293,0.000419290868577808,0.00031696206554545,0.000248724849972761
"X6",0.000521619782619837,0.000495629112196948,0.000498282728844507,0.000446997737441075,0.000390905744041385,0.000295231177274516,0.000223580368110664
"X7",0.00046710891570933,0.000462215174033768,0.000474113533177263,0.000428424874742358,0.000373541187119579,0.000282128431564721,0.000209724308147421
"X8",0.000431385818859451,0.000440327020911237,0.000458189450240621,0.000416362084134071,0.000362029711793629,0.0002738108097125,0.000202122506174717
"X9",0.000407200941248513,0.000425703813617049,0.000447227297518616,0.000408366307634876,0.000354059108889362,0.000268727795966281,0.000198529871911203
"X10",0.000391463046182829,0.000416769268596389,0.000439750968484151,0.000403337335080758,0.000348518856745554,0.000266516151335417,0.000198019864790239
"X11",0.000384004179523476,0.000414105849944653,0.000435739929050862,0.000401151807443732,0.000345160296301587,0.000268037330654619,0.000200773558142577
"X12",0.000387783175671042,0.000421126552302564,0.000437993034088583,0.000403560757694329,0.000345545273840087,0.000276185407848967,0.000208724644783486
"X13",0.000409233806351827,0.0004451388187427,0.000454863252376493,0.000416632407359896,0.000355911509428304,0.000297369813437596,0.000227015310312375
"X14",0.000457040011129651,0.000497144860970739,0.000503498163921501,0.000455182704782996,0.000393044451996515,0.000342569874546233,0.000265535500420427
"X15",0.000537659974464924,0.000588085127181482,0.000607538834284484,0.000545230690691533,0.00048817598485769,0.000425772464040877,0.000338345562325923
"X16",0.000648506579974865,0.000721007952504133,0.000781649121235796,0.000714761392707521,0.000674655111913965,0.000557751582650141,0.000458159435314569
"X17",0.000777578479523076,0.000886303099832366,0.00101379467713373,0.000971499956863125,0.000959335637111318,0.000738726699307058,0.000628497190324217
"X18",0.000908856795312255,0.00106359473469577,0.00126399369653727,0.00128368728196076,0.00130291426556399,0.000954256358694266,0.000838196508984003
"X19",0.00102857234597654,0.00122853119401542,0.00148172444100622,0.00158297980780425,0.00163093165003851,0.00117695863995075,0.00106189489861243
"X20",0.00113038314814905,0.00136180104395464,0.00163104297909676,0.00179534335188067,0.001872785715221,0.00137496523931892,0.00126815432855151
"X21",0.00121624549416938,0.00145490322437196,0.00170397407414555,0.00187877560249231,0.0019957565862157,0.00152272853840454,0.00143072353644717
"X22",0.00128861718246469,0.0015088985969857,0.00171183602385419,0.00184325308826448,0.00200473622535737,0.00160978324453243,0.00153748311318989
"X23",0.00134955118994505,0.0015320940023297,0.00167660186427048,0.00173468861313558,0.00193056363510531,0.00164145587254062,0.00159191683287491
"X24",0.00140310085305375,0.00153731216388136,0.00162403829115223,0.00160491726886695,0.00181527972542371,0.00163345895082505,0.00160851017036782
"X25",0.00145468901668354,0.001538350512373,0.00157635327560112,0.00149258869284374,0.00169672119214148,0.0016055269013375,0.00160661712279234
"X26",0.0015103278092703,0.00154736190749727,0.00154859382498712,0.0014175970579397,0.00160067923959816,0.00157601167781726,0.00160502261148446
"X27",0.00157302230946728,0.00156976804280326,0.00154395146796643,0.0013801810666402,0.00153400387512701,0.00155354970703018,0.00161189366311087
"X28",0.00164327277796435,0.00160677139463017,0.00156014267873806,0.00137407161461795,0.00149453141281993,0.00154039745476861,0.00162804810852149
"X29",0.00172160286279443,0.00165959551167277,0.00159549728551529,0.0013946266169948,0.00148027561875206,0.00153849350244472,0.00165413736223129
"X30",0.00180863878656804,0.001729568801435,0.00164877299468844,0.00143837784313744,0.00148953047413886,0.0015496414741566,0.00169080447955579
"X31",0.00190507328654336,0.00181807021563699,0.00171892446569525,0.00150262670022442,0.00152074988847463,0.00157553680391083,0.00173864569267598
"X32",0.00201059058929932,0.00192599871536291,0.00180620684081956,0.00158627606425128,0.00157232066746489,0.00161750267390985,0.00179804900580047
"X33",0.00212394132882653,0.00205363626250482,0.00191226739101413,0.00169000149718531,0.00164317334200526,0.001676605300872,0.00186930505500761
"X34",0.00224423156426506,0.00220093651860365,0.00203897781844312,0.00181537444637257,0.00173317959541041,0.00175401509519673,0.00195280376261676
"X35",0.00237126007567242,0.00236734828091323,0.00218848399541645,0.00196497449035949,0.0018429878810915,0.00185100375062962,0.00204902281423356
"X36",0.00250587931131296,0.00255163530770685,0.00236331413277309,0.00214257166248842,0.00197390367327791,0.00196891452422878,0.00215851455767123
"X37",0.0026510187210795,0.00275312088960651,0.0025652279803887,0.00235165198163015,0.00212834317465906,0.00210904447860884,0.00228219852768477
"X38",0.00281173150461009,0.00297296475271241,0.00279423560331573,0.00259419834673342,0.00230998527845761,0.00227270915232136,0.0024215382163977
"X39",0.00299394378746572,0.00321316041917635,0.00304965613931464,0.00287215044825452,0.00252321676436301,0.00246140172762513,0.00257823896097172
"X40",0.00320411683887896,0.0034765388783783,0.00333012410804424,0.00318740217476551,0.00277331461966845,0.0026767504773544,0.00275425032876771
"X41",0.00344893323360759,0.00376687386970969,0.00363349914445066,0.00354162040518339,0.0030667318868232,0.00292046633485745,0.00295178948750569
"X42",0.00373538467897816,0.0040882852548882,0.00395863784839321,0.00393578166743518,0.00340928530055709,0.00319493876394099,0.00317272664489254
"X43",0.00407111304092382,0.00444420251468092,0.00430758348392553,0.00436958247862066,0.00380351442662471,0.00350382920035761,0.00341805678108407
