"";"Infant";"Hump";"Senescent"
"1960";1,14134357970427;0,464800564169408;3,30329307345276
"1990";0,445450758257635;0,563972183169071;3,67122564394572
"2017";0,230380309877276;0,283231598321933;3,49903258276986
