,Age,year,qx_male
0,0,2000,4094.380999999991
1,1,2000,782.6715000000017
2,2,2000,-682.7258139331503
3,3,2000,-870.7567988887038
4,4,2000,-346.14530939990436
5,5,2000,326.38480000000163
6,6,2000,694.5204512817481
7,7,2000,755.5916724319885
8,8,2000,619.3392679413549
9,9,2000,395.50404230048065
10,10,2000,193.82679999999863
11,11,2000,100.14256396433652
12,12,2000,104.6632308531015
13,13,2000,173.69491575969533
14,14,2000,273.5437337775198
15,15,2000,370.51579999997705
16,16,2000,437.9976800608622
17,17,2000,477.69774175554386
18,18,2000,498.40480341978366
19,19,2000,508.9076833893437
20,20,2000,517.995199999986
21,21,2000,532.7073197921034
22,22,2000,553.0886021246139
23,23,2000,577.4347545610673
24,24,2000,604.0414846650118
25,25,2000,631.2044999999976
26,26,2000,657.6171079706554
27,27,2000,683.5630153459442
28,28,2000,709.7235287359042
29,29,2000,736.7799547505759
30,30,2000,765.4136000000003
31,31,2000,796.3558931252592
32,32,2000,830.5387508915996
33,33,2000,868.9442120953101
34,34,2000,912.5543155326791
35,35,2000,962.3510999999953
36,36,2000,1019.1495675283002
37,37,2000,1083.0965730876467
38,38,2000,1154.1719348828406
39,39,2000,1232.3554711186875
40,40,2000,1317.6269999999936
41,41,2000,1410.213778361512
42,42,2000,1511.3328175577835
43,43,2000,1622.4485675732958
44,44,2000,1745.0254783925373
45,45,2000,1880.527999999996
46,46,2000,2029.9146022256186
47,47,2000,2192.119834281189
48,48,2000,2365.572265223948
49,49,2000,2548.7004641111366
50,50,2000,2739.932999999998
51,51,2000,2938.9637887359913
52,52,2000,3150.548133317444
53,53,2000,3380.7066835308983
54,54,2000,3635.4600891628997
55,55,2000,3920.828999999993
56,56,2000,4242.089186830395
57,57,2000,4601.536904449016
58,58,2000,5000.7235286524365
59,59,2000,5441.200435237238
60,60,2000,5924.519000000005
61,61,2000,6452.0909839424085
62,62,2000,7024.769688886486
63,63,2000,7643.26880185936
64,64,2000,8308.302009888157
65,65,2000,9020.583000000002
66,66,2000,9779.955509399988
67,67,2000,10582.783476005066
68,68,2000,11424.560887910147
69,69,2000,12300.781733210148
70,70,2000,13206.939999999988
71,71,2000,14130.905018457628
72,72,2000,15030.047487093236
73,73,2000,15854.113446500023
74,74,2000,16552.848937271203
75,75,2000,17075.999999999996
76,76,2000,17389.97955276945
77,77,2000,17527.86802362196
78,78,2000,17539.412718089734
79,79,2000,17474.360941705003
80,80,2000,17382.459999999992
81,81,2000,17318.452930464537
82,82,2000,17357.06569841892
83,83,2000,17578.02000114103
84,84,2000,18061.037535908756
85,85,2000,18885.84
86,0,2001,3907.231999999992
87,1,2001,745.0219000000016
88,2,2001,-654.9381581542524
89,3,2001,-835.4016911000726
90,4,2001,-335.09980349585595
91,5,2001,307.2364000000017
92,6,2001,660.0160555866244
93,7,2001,720.2092628932137
94,8,2001,591.9263624064914
95,9,2001,379.27769461317894
96,10,2001,186.37359999999862
97,11,2001,94.72108112030122
98,12,2001,95.41378879395394
99,13,2001,156.94203590745312
100,14,2001,247.79613534729523
101,15,2001,336.4663999999768
102,16,2001,398.05965513212703
103,17,2001,434.14877553090815
104,18,2001,452.9231483636149
105,19,2001,462.57216079754255
106,20,2001,471.28519999998593
107,21,2001,485.6108743510781
108,22,2001,505.5346770823034
109,23,2001,529.4013226379836
110,24,2001,555.555525462441
111,25,2001,582.3419999999976
112,26,2001,608.4762762634914
113,27,2001,634.1571465398224
114,28,2001,659.9542186844071
115,29,2001,686.4371005526608
116,30,2001,714.1754000000003
117,31,2001,743.8379885949408
118,32,2001,776.4907927583971
119,33,2001,813.2990026243822
120,34,2001,855.4278083269103
121,35,2001,904.0423999999954
122,36,2001,960.0925373567369
123,37,2001,1023.6662584265786
124,38,2001,1094.636170818049
125,39,2001,1172.8748821396775
126,40,2001,1258.254999999994
127,41,2001,1350.9311883780836
128,42,2001,1452.1863367352596
129,43,2001,1563.585390903391
130,44,2001,1686.6932967143464
131,45,2001,1823.0749999999962
132,46,2001,1973.726457930897
133,47,2001,2137.3676730323546
134,48,2001,2312.1496591683617
135,49,2001,2496.2234302029115
136,50,2001,2687.739999999998
137,51,2001,2886.173027898308
138,52,2001,3096.2867551353056
139,53,2001,3324.168068423148
140,54,2001,3575.90385447399
141,55,2001,3857.5809999999924
142,56,2001,4174.693342475848
143,57,2001,4530.362522426401
144,58,2001,4927.1171311390235
145,59,2001,5367.4857599010975
146,60,2001,5853.997000000003
147,61,2001,6388.529122198273
148,62,2001,6970.359115159083
149,63,2001,7598.113647020754
