"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42"
"1",1,1,0.0964506172839506,0.641203703703704,0.261574074074074,0.000771604938271604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0964506172839506,0.641203703703704,0.261574074074074,0.000771604938271604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",1,0.5,0.0431308785208294,0.558948387121092,0.389965492156109,0.00795524220196857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0431308785208294,0.558948387121092,0.389965492156109,0.00795524220196857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",1,0.333333333333333,0.0143115204559333,0.44163867969333,0.514964549833774,0.0290852500169618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0143115204559333,0.44163867969333,0.514964549833774,0.0290852500169618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",1,0.25,0.00245396441288342,0.311890317449548,0.613955511077941,0.0717002070596276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00245396441288342,0.311890317449548,0.613955511077941,0.0717002070596276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",1,0.2,1.96317153039471e-05,0.192319036418873,0.664322639859481,0.143338692006342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96317153039471e-05,0.192319036418873,0.664322639859481,0.143338692006342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",1,0.166666666666667,3.56236307813562e-15,0.103420347377704,0.64663053802836,0.249419058280752,0.000530056313182713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.56236307813562e-15,0.103420347377704,0.64663053802836,0.249419058280752,0.000530056313182713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",1,0.142857142857143,7.8608994313889e-15,0.0472359487175598,0.569124526011866,0.376905846921621,0.00673367834895076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8608994313889e-15,0.0472359487175598,0.569124526011866,0.376905846921621,0.00673367834895076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",1,0.125,5.16947595841089e-15,0.0163057886232793,0.454302549547308,0.503261848761035,0.0261298130683774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.16947595841089e-15,0.0163057886232793,0.454302549547308,0.503261848761035,0.0261298130683774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",1,0.111111111111111,6.31439345255558e-15,0.00309128841848022,0.324780344663817,0.605871327769862,0.0662570391478391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.31439345255558e-15,0.00309128841848022,0.324780344663817,0.605871327769862,0.0662570391478391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",1,0.1,1.0769163338864e-14,5.38694267890882e-05,0.20317364739052,0.662118547918976,0.134653935263712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0769163338864e-14,5.38694267890882e-05,0.20317364739052,0.662118547918976,0.134653935263712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",1,0.0909090909090909,1.5404344466674e-14,-5.53349683782289e-15,0.110718005643882,0.651458055348245,0.237478891979706,0.000345047028166641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5404344466674e-14,-5.53349683782289e-15,0.110718005643882,0.651458055348245,0.237478891979706,0.000345047028166641,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",1,0.0833333333333333,1.39332989590457e-14,-7.53303669442928e-15,0.0515935612999544,0.578927505258158,0.363834893819119,0.00564403962276951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.39332989590457e-14,-7.53303669442928e-15,0.0515935612999544,0.578927505258158,0.363834893819119,0.00564403962276951,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",1,0.0769230769230769,6.21724893790088e-15,-4.46864767411626e-15,0.0184772133895211,0.466819417117096,0.491321682459989,0.0233816870333934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.21724893790088e-15,-4.46864767411626e-15,0.0184772133895211,0.466819417117096,0.491321682459989,0.0233816870333934,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",1,0.0714285714285714,1.89848137210902e-14,-7.3899220076612e-15,0.00383038323621257,0.337749526954187,0.597323521873186,0.0610965679364145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.89848137210902e-14,-7.3899220076612e-15,0.00383038323621257,0.337749526954187,0.597323521873186,0.0610965679364145,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",1,0.0666666666666667,3.99680288865056e-15,-2.80331313717852e-15,0.00011449216364634,0.214333570798561,0.659224676029582,0.126327261008209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.99680288865056e-15,-2.80331313717852e-15,0.00011449216364634,0.214333570798561,0.659224676029582,0.126327261008209,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",1,0.0625,3.08642000845794e-14,-1.34892097491957e-14,6.76325315196458e-16,0.118351130661157,0.655663639927329,0.225776190906966,0.00020903850454702,0,0,0,0,0,0,0,0,0,0,0,0,0,3.08642000845794e-14,-1.34892097491957e-14,6.76325315196458e-16,0.118351130661157,0.655663639927329,0.225776190906966,0.00020903850454702,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",1,0.0588235294117647,-5.77315972805081e-15,7.21644966006352e-15,-8.63024929298462e-15,0.0562112548466777,0.588334709123943,0.350775248584632,0.00467878744474851,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.77315972805081e-15,7.21644966006352e-15,-8.63024929298462e-15,0.0562112548466777,0.588334709123943,0.350775248584632,0.00467878744474851,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",1,0.0555555555555556,6.21724893790088e-15,3.33066907387547e-15,-8.56259507742152e-15,0.0208333333333335,0.479166666666668,0.479166666666666,0.0208333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,6.21724893790088e-15,3.33066907387547e-15,-8.56259507742152e-15,0.0208333333333335,0.479166666666668,0.479166666666666,0.0208333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",1,0.0526315789473684,8.43769498715119e-15,4.44089209850063e-16,-3.85108611666851e-15,0.00467878744474634,0.350775248584634,0.588334709123941,0.0562112548466779,0,0,0,0,0,0,0,0,0,0,0,0,0,8.43769498715119e-15,4.44089209850063e-16,-3.85108611666851e-15,0.00467878744474634,0.350775248584634,0.588334709123941,0.0562112548466779,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",1,0.05,1.24344978758018e-14,7.32747196252603e-15,-1.00891517362811e-14,0.00020903850454651,0.225776190906969,0.655663639927327,0.118351130661159,0,0,0,0,0,0,0,0,0,0,0,0,0,1.24344978758018e-14,7.32747196252603e-15,-1.00891517362811e-14,0.00020903850454651,0.225776190906969,0.655663639927327,0.118351130661159,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",1,0.0476190476190476,3.10862446895044e-14,-1.13242748511766e-14,-8.68749516769185e-15,-1.75877921167883e-15,0.126327261008212,0.659224676029581,0.214333570798562,0.000114492163647468,0,0,0,0,0,0,0,0,0,0,0,0,3.10862446895044e-14,-1.13242748511766e-14,-8.68749516769185e-15,-1.75877921167883e-15,0.126327261008212,0.659224676029581,0.214333570798562,0.000114492163647468,0,0,0,0,0,0,0,0,0,0,0,0
"22",1,0.0454545454545455,1.68753899743024e-14,7.99360577730113e-15,-1.39332989590457e-14,-1.20780122014885e-15,0.0610965679364179,0.597323521873185,0.337749526954188,0.00383038323621133,0,0,0,0,0,0,0,0,0,0,0,0,1.68753899743024e-14,7.99360577730113e-15,-1.39332989590457e-14,-1.20780122014885e-15,0.0610965679364179,0.597323521873185,0.337749526954188,0.00383038323621133,0,0,0,0,0,0,0,0,0,0,0,0
