"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52"
"1",1,1,0.0804115058813479,0.625163021763876,0.292753164318399,0.00167230803637615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0804115058813479,0.625163021763876,0.292753164318399,0.00167230803637615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",1,0.5,0.0339236040436932,0.532023882217247,0.422416717552073,0.0116357961869869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0339236040436932,0.532023882217247,0.422416717552073,0.0116357961869869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",1,0.333333333333333,0.0100514382351694,0.409484285832749,0.543033976374094,0.037430299557988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0100514382351694,0.409484285832749,0.543033976374094,0.037430299557988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",1,0.25,0.00125642977939593,0.280159968639512,0.631989204755335,0.0865943968257558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00125642977939593,0.280159968639512,0.631989204755335,0.0865943968257558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",1,0.2,-1.49457269477127e-16,0.166666666666667,0.666666666666667,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.49457269477127e-16,0.166666666666667,0.666666666666667,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",1,0.166666666666667,5.25686265351322e-15,0.0865943968257538,0.631989204755335,0.280159968639513,0.00125642977939606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.25686265351322e-15,0.0865943968257538,0.631989204755335,0.280159968639513,0.00125642977939606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",1,0.142857142857143,4.37497260641351e-15,0.037430299557986,0.543033976374095,0.409484285832749,0.0100514382351685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.37497260641351e-15,0.037430299557986,0.543033976374095,0.409484285832749,0.0100514382351685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",1,0.125,8.48561672317505e-15,0.0116357961869832,0.422416717552073,0.532023882217247,0.0339236040436936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.48561672317505e-15,0.0116357961869832,0.422416717552073,0.532023882217247,0.0339236040436936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",1,0.111111111111111,8.31279489688086e-15,0.00167230803637325,0.292753164318399,0.625163021763877,0.0804115058813478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.31279489688086e-15,0.00167230803637325,0.292753164318399,0.625163021763877,0.0804115058813478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",1,0.1,1.42409955355971e-14,1.25642977609908e-06,0.176659052702204,0.66628596844351,0.157053722424507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.42409955355971e-14,1.25642977609908e-06,0.176659052702204,0.66628596844351,0.157053722424507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
