"";"LE_sensisHump";"LE_sensisSenescent";"LE_sensisInfant"
"1960-1990";-0,0714244079100297;3,46466645795321;2,22853455767712
"1990-2000";0,572591553171748;1,48340453180552;0,416337416335438
"2000-2017";0,0906614849398011;3,95684556571054;0,142335542683313
